text,headlines,Predicted_headline,Rouge_R1,Rouge_R2,Rouge_RL,BLEU
the season premiere of hbo game of thrones became the most watched in the show history with 10.1 million viewers tuning in to the live broadcast as per hbo this season first episode beat viewership for last year season finale which had 8.89 million viewers it was also the most tweeted got episode ever with 2.4 million tweets.,season premiere most watched got episode in showa¢aas history,the season premiere of hbo game of thrones became the most watched in the show history,0.42857142857142855,0.15384615384615383,0.42857142857142855,0.4728708045015879
president pranab mukherjee is entitled to salary of a¢aa¹75 000 per month half of his salary as president after he retires on july 24 he will further be entitled to office expenses of a¢aa¹60 000 per annum mobile phone car and free travel across india he will live in the delhi bungalow where former president dr apj abdul kalam stayed.,what will president pranab mukherjee earn post retirement ,president pranab mukherjee will live in the delhi bungalow where former president dr apj abdul kalam stayed<q>he will also be entitled to office expenses of [UNK] 000 per month,0.20512820512820512,0.10810810810810811,0.15384615384615383,0.11946956198554656
singer ed sheeran deleted his twitter account on monday after announcing earlier this month that he taking break from the social media platform go on it and there nothing but people saying mean things he had said earlier notably the singer was trolled for his cameo appearance on sunday premiere episode of game of thrones season 7.,singer ed sheeran deletes his twitter account ,ed sheeran deleted his twitter account on monday after announcing that he taking break from the social media platform go on it,0.41379310344827586,0.37037037037037035,0.41379310344827586,0.20072655081296298
nawazuddin siddiqui while speaking about his tweet about being discriminated in the film industry on the basis of his skin colour said it was just reply to someone in the film industry nawazuddin further explained that his tweet was not directed towards the entire industry these things are there everywhere not just in bollywood he added.,was reply to someone siddiqui on tweet about skin colour,nawazuddin siddiqui spoke about being discriminated in the film industry on the basis of his skin colour,0.37037037037037035,0.08,0.29629629629629634,0.36821398145189993
twitter has deleted nearly 90 000 fake accounts after security researchers discovered massive pornographic botnet that was posting links to scam websites and offering online sex the fake profiles had pictures of females and each tweet included sexually explicit phrase prompting users to click on the accompanying url the accounts were reportedly able to attract over crore clicks.,twitter deletes 90 000 fake accounts that offered online sex,security researchers discovered massive pornographic botnet that was posting links to scam websites and offering online sex<q>the accounts were reportedly able to attract over thousands of clicks,0.25641025641025644,0.10810810810810811,0.20512820512820515,0.2560909673893152
replying to an rti application the ministry of home affairs revealed that jammu and kashmir accounted for 49.5% of the total human rights violation complaints against the indian armed forces between 2012 and 2016 the ministry further stated that total of 186 human rights violation complaints were received between these four years from and six other states.,50% human rights complaints against armed forces in rti,kashmir accounted for 49.5 per cent of the total human rights violation complaints against the indian armed forces between 2012 and 2016,0.37500000000000006,0.19999999999999998,0.37500000000000006,0.44428088917702807
hotel rooms with tariffs less than a¢aa¹7 500 per unit per day including 5-star hotels will attract gst rate of 18% the finance ministry has clarified the clarification came after news reports suggested that five-star hotels would be taxed at the highest slab rate of 28% under gst the rate for air-conditioned restaurants including restaurants in 5-star hotels will be 18%.,govt clarifies gst rates for accommodation at 5-star hotels,the rate for air-conditioned restaurants including restaurants in 5-star hotels will be 18,0.4,0.2608695652173913,0.4,0.37239098949398236
m venkaiah naidu the vice presidential candidate of nda on tuesday said that he no longer belongs to the bjp am above any party now he said adding that he will uphold the traditions and standards set by the worthy predecessors he also said that the office of vice president has been held by illustrious people like sarvepalli radhakrishnan.,no longer part of bjp nda vice prez nominee venkaiah naidu,naidu said that he no longer belongs to the party<q>added that he will uphold the traditions and standards set by the worthy predecessors,0.16666666666666666,0.058823529411764705,0.1111111111111111,0.25567957494892185
hackers on monday stole over a¢aa¹45 crore worth of digital currency ether in about three minutes by tricking victims into sending money to the wrong web address the hackers changed the address which was posted by company called coindash to get funds from investors it took coindash three minutes to realise its investors were sending funds to hackers address.,hackers steal a¢aa¹45 crore-worth digital currency in minutes,the hackers changed the address posted by company coindash to get funds from investors,0.07692307692307691,0.0,0.07692307692307691,0.5169731539571706
the government has recently transferred 325 commissioners of the income tax department across the country the central board of direct taxes cbdt which frames policy for the tax department has brought out two lists transferring 80 and subsequently 245 commissioner rank officials this is reportedly the largest scale of transfers done in the department in the last few years.,govt transfers over 300 i-t commissioners across the country,it is reportedly the largest scale of transfers done in the department in the last few years<q>the government has recently transferred 325 commissioners of the income tax department across the country,0.23255813953488375,0.0975609756097561,0.23255813953488375,0.12632368169934813
the new ceo of national stock exchange nse vikram limaye has said his immediate priority is to resolve probe from market regulator sebi about whether nse employees provided unfair access to co-location servers to select brokers co-location servers are placed at exchanges to speed up algorithmic trading notably the probe has delayed the initial public offering of the nse.,resolving regulatory probe of nse top priority ceo limaye,new ceo of national stock exchange nse vikram limaye has said his immediate priority is to resolve probe from market regulator sebi<q>the probe has delayed the initial public offering of the nse,0.3255813953488372,0.0,0.18604651162790695,0.6389431042462724
ajay singh-controlled budget carrier spicejet has moved the supreme court against delhi high court order asking it to deposit a¢aa¹579 crore in share transfer dispute spicejet has filed the appeal against its previous owner kalanithi maran-promoted kal airways notably maran sought a¢aa¹2 000 crore in compensation from singh and spicejet for causing losses by failing to honour an agreement.,spicejet challenges order to pay a¢aa¹579 cr in row with maran,spicejet has filed the appeal against its previous owner kalanithi maran-promoted kal airways,0.14285714285714285,0.0,0.14285714285714285,0.5266403878479265
suniel shetty has said that after doing 126 films one can say that he has not been doing that many films while adding did an overdose of cinema suniel further said needed to take break to focus on my children athiya and ahan careers are more important to me suniel will complete 25 years in bollywood this year.,i think after 126 films did an overdose of cinema suniel,suniel shetty will complete 25 years in bollywood this year<q>suniel shetty said he has not been doing that many films while adding did an overdose of cinema,0.35,0.21052631578947364,0.3,0.12212865548711085
on the occasion of priyanka chopra 35th birthday abhishek bachchan tweeted happy birthday chopps take break even if it just for the day happy birthday onward and upward wrote jacqueline fernandez riteish deshmukh wrote happy birthday dear keep shining have the brightest one happy birthday @priyankachopra bigger person than star tweeted filmmaker sujoy ghosh.,abhishek jacqueline riteish wish priyanka on her birthday,abhishek bachchan and abhishek bachchan tweeted on the occasion of priyanka chopra 35th birthday,0.36363636363636365,0.0,0.2727272727272727,0.7311104457090247
an 18-year-old son of maharashtra housing and area development authority vice president milind mhaiskar and urban development department principal secretary manisha mhaiskar was found dead under mysterious circumstances in mumbai the police are trying to find out whether it was case of suicide or if he was pushed from the 20th storey of the building.,ias officer son found dead under mysterious circumstances,the 18-year-old was found dead under mysterious circumstances in mumbai<q>police are trying to determine whether it was case of suicide or if he was pushed from the 20th storey of the building,0.2272727272727273,0.19047619047619044,0.2272727272727273,0.09598524129805773
after pakistani pacer mohammad amir revealed on twitter that he rates indian captain virat kohli as the world best batsman user tweeted from india and aapne dil jit liya ham sabka doesn matter who is best but am your big fan as an indian would god bless you read another tweet.,aapne dil jit liya tweets user on amir calling kohli best,pakistani pacer mohammad amir revealed on twitter that he rates indian captain virat kohli as the world best batsman<q>amir revealed that he thinks kohli is the world 's best batsman,0.18604651162790697,0.0,0.18604651162790697,0.5856596027429395
sri lanka on tuesday chased down the target of 388 against zimbabwe in the one-off test to register their highest successful run chase the run chase was also the biggest in sri lanka and asia and the fifth highest successful chase in cricket history spinner rangana herath who took 11 wickets in the match was named man of the series.,sri lanka register their highest successful test run chase,the run chase was also the biggest in sri lanka and asia<q>spinner rangana herath was named man of the series,0.2580645161290322,0.13793103448275862,0.1290322580645161,0.34696664549459105
italian football legend francesco totti on monday confirmed his retirement from football after spending his 25-year-long playing career with seria club roma the 40-year-old who made his debut for the club aged 16 in 1993 featured in 786 matches and scored 307 goals totti revealed that he will continue to work with his boyhood club as director.,francesco totti retires after playing 25 years for same club,francesco totti announced his retirement from football on monday<q>the 40-year-old played in 786 matches and scored 307 goals<q>totti will continue to work with his boyhood club as director,0.2727272727272727,0.047619047619047616,0.22727272727272727,0.22089591134157885
shiv sena leader and rajya sabha mp sanjay raut on monday questioned opposition parties for fielding gopalkrishna gandhi for the vice presidential elections claiming that gandhi had opposed the death sentence of 1993 mumbai bomb blasts convict yakub memon raut said he had even written to the president want to ask opposition what kind of mindset is this ,gopalkrishna gandhi opposed yakub memon hanging shiv sena,gopalkrishna gandhi opposed the death sentence of 1993 mumbai bomb blasts<q>shiv sena leader sanjay raut says he has even written to the president,0.30303030303030304,0.19354838709677416,0.30303030303030304,0.17098323692758396
the centre has asked all the states to compulsorily file firs in all untoward incidents happening in the name of cow protection the lok sabha was informed on tuesday the centre said that the responsibility to maintain law and order and preventing incidents of attacks on cattle traders beef eaters muslims dalits and dairy farmers rests with the states.,govt asks states to file firs over violence in cow name,the centre has asked all the states to compulsorily file firs in all untoward incidents happening in the name of cow protection,0.4848484848484849,0.12903225806451613,0.4242424242424242,0.4172261448611506
a priest from kerala wayanad district identified as father saji joseph has been arrested for sexually abusing minor boys at children home the incident that took place during the summer of 2016 came to light recently after victim shared the ordeal with his parents the accused was absconding for the past three days before being arrested from karnataka.,kerala priest arrested for sexually abusing minor boys,a priest from kerala wayanad district has been arrested for sexually abusing minor boys at children home<q>saji joseph was absconding for the past three days before being arrested from karnataka wayanad,0.3902439024390244,0.25641025641025644,0.3414634146341463,0.139800134566647
south korean company lg has unveiled steriliser that uses ultraviolet light to continuously disinfect the rubber handrails of escalators while moving through process called ultraviolet germicidal irradiation the steriliser kills microorganisms by targeting their nucleic acids or disrupting their dna the device powers itself by converting the escalator movement into electricity.,lg unveils device that disinfects handrails of escalators,the steriliser uses uv light to disinfect the rubber handrails of escalators<q>the device power itself by converting the escalator movement into electricity,0.3125,0.13333333333333333,0.25,0.15048435361489218
