text,headlines,predictions,Rouge_R1,Rouge_R2,Rouge_RL,BLEU
the season premiere of hbo game of thrones became the most watched in the show history with 10.1 million viewers tuning in to the live broadcast as per hbo this season first episode beat viewership for last year season finale which had 8.89 million viewers it was also the most tweeted got episode ever with 2.4 million tweets.,season premiere most watched got episode in showã¢ââs history, game of thrones actor kit gets 10 billion from film,0.0,0.0,0.0,0.0
president pranab mukherjee is entitled to salary of ã¢ââ¹75 000 per month half of his salary as president after he retires on july 24 he will further be entitled to office expenses of ã¢ââ¹60 000 per annum mobile phone car and free travel across india he will live in the delhi bungalow where former president dr apj abdul kalam stayed.,what will president pranab mukherjee earn post retirement , prez kovind announces pay for lakh over lakh people,0.0,0.0,0.0,0.0
singer ed sheeran deleted his twitter account on monday after announcing earlier this month that he taking break from the social media platform go on it and there nothing but people saying mean things he had said earlier notably the singer was trolled for his cameo appearance on sunday premiere episode of game of thrones season 7.,singer ed sheeran deletes his twitter account , twitter users react to twitter account hacked,0.25,0.14285714285714288,0.25,0.4671379777282001
nawazuddin siddiqui while speaking about his tweet about being discriminated in the film industry on the basis of his skin colour said it was just reply to someone in the film industry nawazuddin further explained that his tweet was not directed towards the entire industry these things are there everywhere not just in bollywood he added.,was reply to someone siddiqui on tweet about skin colour, nawazuddin is the name of the film nawazuddin,0.0,0.0,0.0,0.0
twitter has deleted nearly 90 000 fake accounts after security researchers discovered massive pornographic botnet that was posting links to scam websites and offering online sex the fake profiles had pictures of females and each tweet included sexually explicit phrase prompting users to click on the accompanying url the accounts were reportedly able to attract over crore clicks.,twitter deletes 90 000 fake accounts that offered online sex, facebook faces global outage for fake news,0.10526315789473685,0.0,0.10526315789473685,0.4004970149398301
replying to an rti application the ministry of home affairs revealed that jammu and kashmir accounted for 49.5% of the total human rights violation complaints against the indian armed forces between 2012 and 2016 the ministry further stated that total of 186 human rights violation complaints were received between these four years from and six other states.,50% human rights complaints against armed forces in rti, govt asks states to give gst on surgical strikes,0.0,0.0,0.0,0.0
hotel rooms with tariffs less than ã¢ââ¹7 500 per unit per day including 5-star hotels will attract gst rate of 18% the finance ministry has clarified the clarification came after news reports suggested that five-star hotels would be taxed at the highest slab rate of 28% under gst the rate for air-conditioned restaurants including restaurants in 5-star hotels will be 18%.,govt clarifies gst rates for accommodation at 5-star hotels, jet airways may have been paid more than its own cryptocurrency,0.0,0.0,0.0,0.0
m venkaiah naidu the vice presidential candidate of nda on tuesday said that he no longer belongs to the bjp am above any party now he said adding that he will uphold the traditions and standards set by the worthy predecessors he also said that the office of vice president has been held by illustrious people like sarvepalli radhakrishnan.,no longer part of bjp nda vice prez nominee venkaiah naidu, no one can be given by bjp leader in 2019 polls,0.16666666666666669,0.0,0.16666666666666669,0.6529942057256104
hackers on monday stole over ã¢ââ¹45 crore worth of digital currency ether in about three minutes by tricking victims into sending money to the wrong web address the hackers changed the address which was posted by company called coindash to get funds from investors it took coindash three minutes to realise its investors were sending funds to hackers address.,hackers steal ã¢ââ¹45 crore-worth digital currency in minutes, hackers steal million worth ã¢ââ¹1 crore from bitcoin,0.4210526315789474,0.11764705882352941,0.3157894736842105,0.43472087194499137
the government has recently transferred 325 commissioners of the income tax department across the country the central board of direct taxes cbdt which frames policy for the tax department has brought out two lists transferring 80 and subsequently 245 commissioner rank officials this is reportedly the largest scale of transfers done in the department in the last few years.,govt transfers over 300 i-t commissioners across the country, govt releases crore tax on sanitary pads,0.10526315789473685,0.0,0.10526315789473685,0.46199933699457096
